,index,CompTotal,CompFreq,Currency_Type,Currency_Describtion,TotalByYear,USD per unit,TotalByYearUSD,Echange_rate
208,378,1300000.0,Monthly,INR,Indian rupee,15600000.0,0,209331.71532,0.0134186997
209,379,110000.0,Yearly,EUR,European Euro,110000.0,0,124221.070083,1.1292824553
210,380,40000.0,Yearly,USD,United States dollar,40000.0,0,40000.0,1.0
211,382,95000.0,Yearly,CAD,Canadian dollar,95000.0,0,74788.331202,0.7872455916
212,383,88500.0,Yearly,CAD,Canadian dollar,88500.0,0,69671.2348566,0.7872455916
213,385,4180.0,Monthly,EUR,European Euro,50160.0,0,56644.807957848,1.1292824553
214,387,2000.0,Monthly,AUD,Australian dollar,24000.0,0,17378.867584800002,0.7241194827
215,389,5000.0,Monthly,EUR,European Euro,60000.0,0,67756.947318,1.1292824553
216,390,5600.0,Monthly,PEN,Peruvian sol,67200.0,0,16978.83175296,0.2526611868
217,392,1500.0,Monthly,EUR,European Euro,18000.0,0,20327.084195400002,1.1292824553
218,393,63385.0,Yearly,USD,United States dollar,63385.0,0,63385.0,1.0
219,396,4500.0,Monthly,CHF,Swiss franc,54000.0,0,58973.4940626,1.0921017419
220,398,108000.0,Yearly,USD,United States dollar,108000.0,0,108000.0,1.0
221,399,54000.0,Yearly,EUR,European Euro,54000.0,0,60981.252586200004,1.1292824553
222,402,300000.0,Monthly,RUB,Russian ruble,3600000.0,0,47893.51584,0.0133037544
223,403,42000.0,Yearly,EUR,European Euro,42000.0,0,47429.8631226,1.1292824553
224,404,44500.0,Yearly,EUR,European Euro,44500.0,0,50253.06926085,1.1292824553
225,405,6500.0,Monthly,EUR,European Euro,78000.0,0,88084.0315134,1.1292824553
226,406,43000.0,Yearly,GBP,Pound sterling,43000.0,0,58231.702782299995,1.3542256461
227,409,55000.0,Yearly,GBP,Pound sterling,55000.0,0,74482.41053549999,1.3542256461
228,412,6000.0,Monthly,USD,United States dollar,72000.0,0,72000.0,1.0
229,413,47000.0,Yearly,GBP,Pound sterling,47000.0,0,63648.6053667,1.3542256461
230,414,2000.0,Monthly,EUR,European Euro,24000.0,0,27102.7789272,1.1292824553
231,417,20000000.0,Yearly,JPY,Japanese yen,20000000.0,0,172213.396,0.0086106698
232,421,10000.0,Monthly,PLN,Polish zloty,120000.0,0,29693.401716,0.2474450143
233,424,2300.0,Monthly,EUR,European Euro,27600.0,0,31168.19576628,1.1292824553
234,425,12250.0,Monthly,AED,United Arab Emirates dirham,147000.0,0,40027.2294072,0.2722940776
235,429,120000.0,Monthly,INR,Indian rupee,1440000.0,0,19322.927568,0.0134186997
236,432,90000.0,Yearly,USD,United States dollar,90000.0,0,90000.0,1.0
237,433,67000.0,Yearly,USD,United States dollar,67000.0,0,67000.0,1.0
238,434,1552500.0,Yearly,INR,Indian rupee,1552500.0,0,20832.53128425,0.0134186997
239,435,100000.0,Yearly,CHF,Swiss franc,100000.0,0,109210.17419,1.0921017419
240,436,10000.0,Monthly,BOB,Bolivian boliviano,120000.0,0,17406.11874,0.1450509895
241,437,195000.0,Yearly,USD,United States dollar,195000.0,0,195000.0,1.0
242,438,2650.0,Monthly,EUR,European Euro,31800.0,0,35911.18207854,1.1292824553
243,439,120000.0,Yearly,GBP,Pound sterling,120000.0,0,162507.077532,1.3542256461
244,440,5000.0,Monthly,EUR,European Euro,60000.0,0,67756.947318,1.1292824553
245,441,9500.0,Monthly,EUR,European Euro,114000.0,0,128738.19990420001,1.1292824553
246,448,90000.0,Yearly,USD,United States dollar,90000.0,0,90000.0,1.0
247,450,150000.0,Monthly,RUB,Russian ruble,1800000.0,0,23946.75792,0.0133037544
248,456,1350.0,Monthly,EUR,European Euro,16200.0,0,18294.37577586,1.1292824553
249,457,280000.0,Yearly,USD,United States dollar,280000.0,0,280000.0,1.0
250,458,45000.0,Yearly,EUR,European Euro,45000.0,0,50817.7104885,1.1292824553
251,459,535500.0,Yearly,SEK,Swedish krona,535500.0,0,58916.41530705,0.1100213171
252,460,15000.0,Monthly,PLN,Polish zloty,180000.0,0,44540.102574,0.2474450143
253,462,180000.0,Monthly,BDT,Bangladeshi taka,2160000.0,0,25242.286391999998,0.0116862437
254,463,29000.0,Yearly,USD,United States dollar,29000.0,0,29000.0,1.0
255,464,170000.0,Yearly,USD,United States dollar,170000.0,0,170000.0,1.0
256,465,10000.0,Monthly,TRY,Turkish lira,120000.0,0,8849.966808,0.0737497234
257,467,1860.0,Monthly,EUR,European Euro,22320.0,0,25205.584402296,1.1292824553
258,468,112000.0,Monthly,UAH,Ukrainian hryvnia,1344000.0,0,48946.3064832,0.0364183828
259,469,70000.0,Yearly,USD,United States dollar,70000.0,0,70000.0,1.0
260,470,53000.0,Monthly,ZAR,South African rand,636000.0,0,39736.3160784,0.0624784844
261,472,90000.0,Yearly,EUR,European Euro,90000.0,0,101635.420977,1.1292824553
262,473,800.0,Weekly,USD,United States dollar,41600.0,0,41600.0,1.0
263,474,3100.0,Monthly,EUR,European Euro,37200.0,0,42009.307337160004,1.1292824553
264,475,120000.0,Yearly,CAD,Canadian dollar,120000.0,0,94469.470992,0.7872455916
265,476,198000.0,Monthly,PKR,Pakistani rupee,2376000.0,0,13448.441556,0.0056601185
266,477,41950.0,Yearly,GBP,Pound sterling,41950.0,0,56809.765853895,1.3542256461
267,478,80000.0,Yearly,CHF,Swiss franc,80000.0,0,87368.13935200001,1.0921017419
268,480,1000.0,Yearly,EUR,European Euro,1000.0,0,1129.2824553,1.1292824553
269,481,85000.0,Yearly,USD,United States dollar,85000.0,0,85000.0,1.0
270,482,60000.0,Yearly,EUR,European Euro,60000.0,0,67756.947318,1.1292824553
271,483,17250000.0,Yearly,ARS,Argentine peso,17250000.0,0,167354.640675,0.0097017183
272,485,4800.0,Monthly,EUR,European Euro,57600.0,0,65046.66942528,1.1292824553
273,487,840.0,Weekly,CAD,Canadian dollar,43680.0,0,34386.887441088,0.7872455916
274,489,100000.0,Yearly,USD,United States dollar,100000.0,0,100000.0,1.0
275,491,92000.0,Yearly,USD,United States dollar,92000.0,0,92000.0,1.0
276,492,32000.0,Yearly,EUR,European Euro,32000.0,0,36137.0385696,1.1292824553
277,493,91000.0,Yearly,CHF,Swiss franc,91000.0,0,99381.2585129,1.0921017419
278,494,135000.0,Yearly,USD,United States dollar,135000.0,0,135000.0,1.0
279,495,55000.0,Yearly,GBP,Pound sterling,55000.0,0,74482.41053549999,1.3542256461
280,498,150000000.0,Monthly,IRR,Iranian rial,1800000000.0,0,42733.799999999996,2.3741e-05
281,499,150000.0,Yearly,USD,United States dollar,150000.0,0,150000.0,1.0
282,500,65000.0,Yearly,USD,United States dollar,65000.0,0,65000.0,1.0
283,501,2000.0,Monthly,EUR,European Euro,24000.0,0,27102.7789272,1.1292824553
284,503,60000.0,Yearly,EUR,European Euro,60000.0,0,67756.947318,1.1292824553
285,504,45000.0,Yearly,EUR,European Euro,45000.0,0,50817.7104885,1.1292824553
286,505,205000.0,Monthly,EUR,European Euro,2460000.0,0,2778034.840038,1.1292824553
287,506,30000.0,Monthly,INR,Indian rupee,360000.0,0,4830.731892,0.0134186997
288,509,98000.0,Monthly,INR,Indian rupee,1176000.0,0,15780.3908472,0.0134186997
289,512,33000.0,Yearly,EUR,European Euro,33000.0,0,37266.321024900004,1.1292824553
290,514,5000.0,Monthly,EUR,European Euro,60000.0,0,67756.947318,1.1292824553
291,516,55000.0,Yearly,EUR,European Euro,55000.0,0,62110.5350415,1.1292824553
292,518,3500.0,Monthly,EUR,European Euro,42000.0,0,47429.8631226,1.1292824553
293,522,1500.0,Monthly,EUR,European Euro,18000.0,0,20327.084195400002,1.1292824553
294,523,2800000.0,Monthly,LBP,Lebanese pound,33600000.0,0,22288.55664,0.0006633499
295,524,5000.0,Monthly,USD,United States dollar,60000.0,0,60000.0,1.0
296,526,2200.0,Weekly,USD,United States dollar,114400.0,0,114400.0,1.0
297,528,110000.0,Monthly,UAH,Ukrainian hryvnia,1320000.0,0,48072.265296000005,0.0364183828
298,532,110000.0,Yearly,TRY,Turkish lira,110000.0,0,8112.469574,0.0737497234
299,533,2400.0,Monthly,EUR,European Euro,28800.0,0,32523.33471264,1.1292824553
300,534,35000.0,Monthly,BRL,Brazilian real,420000.0,0,73970.19399,0.1761195095
301,535,70000.0,Monthly,PKR,Pakistani rupee,840000.0,0,4754.49954,0.0056601185
302,536,82000.0,Yearly,EUR,European Euro,82000.0,0,92601.16133460001,1.1292824553
303,538,19000.0,Yearly,EUR,European Euro,19000.0,0,21456.3666507,1.1292824553
304,539,190000.0,Yearly,USD,United States dollar,190000.0,0,190000.0,1.0
305,540,38500.0,Yearly,GBP,Pound sterling,38500.0,0,52137.68737485,1.3542256461
306,541,45000.0,Yearly,EUR,European Euro,45000.0,0,50817.7104885,1.1292824553
307,544,57765.0,Yearly,USD,United States dollar,57765.0,0,57765.0,1.0
308,545,40000.0,Yearly,USD,United States dollar,40000.0,0,40000.0,1.0
309,546,37440.0,Yearly,USD,United States dollar,37440.0,0,37440.0,1.0
310,547,110000.0,Yearly,CAD,Canadian dollar,110000.0,0,86597.015076,0.7872455916
311,552,430000.0,Yearly,USD,United States dollar,430000.0,0,430000.0,1.0
312,554,70000.0,Monthly,INR,Indian rupee,840000.0,0,11271.707748,0.0134186997
