,index,YearsCodePro
1039,1039,3
1042,1042,1
1043,1043,5
1047,1047,7
1048,1048,6
1049,1049,11
1050,1050,3
1051,1051,7
1052,1052,10
1053,1053,8
1055,1055,13
1056,1056,10
1057,1057,8
1058,1058,4
1060,1060,7
1062,1062,14
1065,1065,1
1066,1066,15
1067,1067,2
1068,1068,5
1069,1069,1
1070,1070,4
1071,1071,1
1072,1072,7
1073,1073,5
1074,1074,29
1076,1076,32
1077,1077,43
1080,1080,3
1081,1081,10
1082,1082,5
1083,1083,1
1085,1085,30
1086,1086,9
1087,1087,3
1088,1088,15
1089,1089,8
1091,1091,5
1092,1092,3
1093,1093,5
1096,1096,4
1099,1099,12
1100,1100,4
1101,1101,40
1102,1102,6
1103,1103,9
1104,1104,29
1107,1107,10
1109,1109,5
1111,1111,38
1112,1112,9
1113,1113,6
1114,1114,5
1115,1115,15
1116,1116,15
1117,1117,2
1118,1118,30
1121,1121,4
1122,1122,4
1123,1123,13
1124,1124,5
1125,1125,4
1126,1126,13
1127,1127,13
1129,1129,20
1131,1131,23
1132,1132,5
1133,1133,7
1134,1134,11
1136,1136,16
1138,1138,21
1139,1139,12
1140,1140,19
1141,1141,6
1142,1142,1
1144,1144,4
1145,1145,1
1146,1146,1
1147,1147,11
1148,1148,2
1149,1149,6
1150,1150,8
1151,1151,38
1152,1152,7
1153,1153,11
1154,1154,3
1158,1158,11
1159,1159,16
1160,1160,3
1161,1161,8
1163,1163,1
1164,1164,3
1165,1165,2
1166,1166,8
1167,1167,10
1168,1168,25
1169,1169,3
1171,1171,6
1172,1172,1
1173,1173,38
1174,1174,3
1175,1175,5
1176,1176,6
1177,1177,6
1178,1178,25
1179,1179,3
1180,1180,26
1182,1182,24
1184,1184,23
1186,1186,1
1187,1187,16
1188,1188,7
1189,1189,4
1190,1190,19
1191,1191,8
1192,1192,25
1193,1193,7
1194,1194,7
1195,1195,8
1196,1196,15
1197,1197,6
1198,1198,5
1199,1199,32
1200,1200,19
1201,1201,14
1203,1203,15
1204,1204,15
1205,1205,7
1207,1207,8
1208,1208,31
1209,1209,15
1210,1210,3
1211,1211,3
1213,1213,45
1214,1214,12
1215,1215,13
1216,1216,8
1218,1218,6
1219,1219,9
1220,1220,3
1221,1221,10
1224,1224,2
1225,1225,5
1227,1227,26
1228,1228,3
1229,1229,1
1230,1230,8
1234,1234,5
1235,1235,4
1236,1236,5
1237,1237,6
1238,1238,1
1241,1241,12
1242,1242,5
1244,1244,3
1248,1248,10
1249,1249,4
1250,1250,18
1251,1251,10
1252,1252,20
1253,1253,25
1254,1254,6
1258,1258,2
1259,1259,14
1260,1260,4
1261,1261,1
1263,1263,1
1264,1264,1
1265,1265,1
1268,1268,2
1270,1270,3
1271,1271,5
1273,1273,2
1274,1274,1
1275,1275,21
1276,1276,5
1277,1277,10
1279,1279,5
1280,1280,2
1281,1281,24
1282,1282,4
1283,1283,21
1286,1286,4
1287,1287,8
1289,1289,8
1290,1290,15
1291,1291,14
1292,1292,10
1293,1293,10
1294,1294,3
1295,1295,3
1296,1296,1
1297,1297,1
1301,1301,25
1303,1303,10
1304,1304,6
1306,1306,5
1307,1307,20
1308,1308,2
1309,1309,3
1310,1310,2
1311,1311,35
1312,1312,2
1314,1314,1
1315,1315,2
1316,1316,20
1317,1317,2
1318,1318,2
1320,1320,3
1321,1321,16
1323,1323,10
1324,1324,7
1326,1326,15
1327,1327,3
1329,1329,5
1330,1330,3
1331,1331,7
1333,1333,1
1334,1334,21
1335,1335,10
1336,1336,1
1337,1337,1
1338,1338,7
1339,1339,26
1342,1342,3
1343,1343,11
1345,1345,6
1347,1347,6
1348,1348,8
1349,1349,3
1350,1350,23
1351,1351,4
1354,1354,25
1355,1355,1
1356,1356,18
1359,1359,8
1360,1360,11
1361,1361,3
1363,1363,7
1364,1364,9
1365,1365,12
1366,1366,8
1368,1368,6
1369,1369,3
1371,1371,17
1372,1372,16
1373,1373,3
1374,1374,20
1376,1376,12
1377,1377,3
1379,1379,26
1382,1382,6
1383,1383,4
1384,1384,8
1385,1385,15
1386,1386,2
1387,1387,1
1388,1388,1
1389,1389,6
1391,1391,11
1393,1393,12
1394,1394,16
1395,1395,3
1397,1397,21
1398,1398,2
1401,1401,35
1402,1402,8
1404,1404,4
1405,1405,13
1406,1406,1
1407,1407,2
1409,1409,9
1412,1412,8
1413,1413,2
1414,1414,20
1415,1415,9
1416,1416,3
1420,1420,1
1421,1421,6
1422,1422,4
1424,1424,5
1426,1426,23
1427,1427,4
1428,1428,7
1429,1429,13
1430,1430,5
1431,1431,8
1432,1432,16
1433,1433,10
1434,1434,4
1435,1435,35
1437,1437,19
1438,1438,2
1439,1439,1
1440,1440,10
1442,1442,22
1444,1444,16
1445,1445,2
1446,1446,10
1449,1449,4
1451,1451,8
1453,1453,6
1454,1454,12
1455,1455,20
1457,1457,12
1459,1459,7
1460,1460,9
1461,1461,1
1462,1462,37
1464,1464,5
1465,1465,10
1466,1466,4
1467,1467,23
1468,1468,1
1472,1472,2
1474,1474,11
1475,1475,5
1478,1478,10
1481,1481,5
1482,1482,14
1485,1485,19
1486,1486,11
1487,1487,3
1488,1488,15
1489,1489,9
1490,1490,15
1492,1492,1
1493,1493,12
1494,1494,8
1495,1495,5
1497,1497,7
1498,1498,10
1500,1500,9
1502,1502,5
1503,1503,1
1504,1504,10
1505,1505,7
1506,1506,21
1507,1507,9
1509,1509,20
1510,1510,7
1511,1511,2
1512,1512,10
1513,1513,13
1514,1514,13
1515,1515,4
1516,1516,2
1517,1517,2
1518,1518,7
1519,1519,10
1520,1520,6
1522,1522,9
1524,1524,7
1525,1525,10
1527,1527,12
1528,1528,10
1529,1529,1
1531,1531,7
1532,1532,21
1533,1533,9
1534,1534,31
1537,1537,5
1538,1538,5
1539,1539,12
1540,1540,42
1541,1541,12
1542,1542,40
1544,1544,7
1546,1546,1
1549,1549,9
1550,1550,12
1551,1551,1
1552,1552,6
1553,1553,16
1554,1554,4
1555,1555,7
1556,1556,5
1558,1558,2
1559,1559,11
1560,1560,13
1561,1561,1
1562,1562,3
1564,1564,7
1565,1565,10
1566,1566,11
1567,1567,6
1568,1568,10
1569,1569,20
1570,1570,23
1571,1571,3
1572,1572,4
1573,1573,6
1577,1577,4
1579,1579,9
1580,1580,4
1581,1581,4
1584,1584,20
1586,1586,6
1587,1587,4
1588,1588,4
1590,1590,1
1591,1591,30
1593,1593,1
1594,1594,34
1596,1596,10
1599,1599,28
1600,1600,3
1602,1602,2
1604,1604,10
1605,1605,6
1607,1607,16
1608,1608,21
1609,1609,5
1611,1611,4
1613,1613,5
1614,1614,8
1615,1615,8
1616,1616,1
1617,1617,5
1618,1618,27
1619,1619,4
1620,1620,3
1621,1621,23
1622,1622,1
1624,1624,1
1625,1625,10
1626,1626,4
1627,1627,22
1628,1628,11
1629,1629,20
1630,1630,5
1631,1631,5
1632,1632,5
1633,1633,20
1634,1634,6
1635,1635,10
1636,1636,10
1637,1637,2
1638,1638,5
1639,1639,2
1640,1640,17
1641,1641,25
1642,1642,10
1643,1643,3
1644,1644,4
1645,1645,5
1646,1646,13
1647,1647,2
1648,1648,16
1650,1650,13
1651,1651,1
1652,1652,2
1654,1654,6
1655,1655,4
1656,1656,5
1657,1657,12
1660,1660,3
1662,1662,6
1663,1663,7
1664,1664,5
1665,1665,24
1666,1666,2
1667,1667,1
1668,1668,5
1669,1669,7
1673,1673,2
1674,1674,20
1675,1675,4
1677,1677,6
1678,1678,8
1680,1680,6
1681,1681,6
1682,1682,2
1683,1683,18
1684,1684,5
1685,1685,5
1686,1686,6
1687,1687,4
1688,1688,8
1689,1689,8
1690,1690,11
1691,1691,2
1692,1692,6
1693,1693,7
1694,1694,1
1695,1695,8
1696,1696,2
1698,1698,16
1699,1699,20
1700,1700,9
1701,1701,8
1702,1702,16
1704,1704,4
1705,1705,4
1706,1706,4
1707,1707,2
1708,1708,18
1709,1709,15
1710,1710,8
1711,1711,6
1712,1712,1
1713,1713,5
1714,1714,13
1715,1715,4
1716,1716,1
1717,1717,3
1718,1718,13
1720,1720,13
1721,1721,5
1722,1722,2
1723,1723,4
1724,1724,1
1726,1726,2
1727,1727,6
1728,1728,2
1729,1729,10
1730,1730,15
1731,1731,6
1732,1732,24
1733,1733,4
1734,1734,12
1735,1735,4
1736,1736,10
1737,1737,13
1738,1738,2
1739,1739,6
1742,1742,2
1743,1743,2
1744,1744,9
1745,1745,23
1746,1746,2
1747,1747,9
1748,1748,4
1749,1749,4
1750,1750,6
1751,1751,11
1752,1752,8
1754,1754,7
1755,1755,40
1757,1757,3
1758,1758,6
1759,1759,5
1760,1760,10
1761,1761,4
1762,1762,5
1763,1763,13
1764,1764,7
1765,1765,6
1766,1766,9
1769,1769,26
1770,1770,9
1771,1771,10
1772,1772,4
1773,1773,6
1774,1774,10
1776,1776,32
1778,1778,1
1779,1779,9
1781,1781,1
1782,1782,5
1783,1783,10
1784,1784,8
1785,1785,12
1786,1786,2
1788,1788,3
1789,1789,4
1790,1790,4
1792,1792,4
1793,1793,1
1794,1794,2
1795,1795,4
1796,1796,11
1797,1797,4
1798,1798,4
1799,1799,10
1802,1802,10
1804,1804,26
1805,1805,4
1806,1806,1
1807,1807,4
1808,1808,1
1809,1809,11
1810,1810,1
1812,1812,6
1813,1813,11
1814,1814,13
1815,1815,5
1816,1816,5
1818,1818,1
1819,1819,1
1820,1820,1
1821,1821,2
1822,1822,11
1824,1824,5
1826,1826,4
1828,1828,13
1830,1830,11
1831,1831,15
1833,1833,20
1836,1836,3
1837,1837,22
1838,1838,14
1839,1839,5
1840,1840,7
1841,1841,6
1842,1842,24
1843,1843,13
1845,1845,2
1846,1846,5
1847,1847,6
1848,1848,4
1849,1849,7
1851,1851,46
1852,1852,7
1854,1854,2
1856,1856,7
1857,1857,3
1858,1858,4
1859,1859,1
1860,1860,7
1861,1861,40
1862,1862,9
1863,1863,23
1865,1865,2
1866,1866,10
1867,1867,10
1868,1868,6
1869,1869,5
1870,1870,6
1872,1872,16
1875,1875,15
1876,1876,1
1877,1877,1
1878,1878,10
1879,1879,15
1880,1880,14
1881,1881,8
1882,1882,20
1884,1884,15
1885,1885,15
1887,1887,4
1888,1888,4
1890,1890,12
1892,1892,28
1894,1894,7
1895,1895,1
1896,1896,10
1897,1897,20
1898,1898,7
1899,1899,3
1901,1901,4
1902,1902,2
1903,1903,7
1904,1904,1
1905,1905,1
1907,1907,11
1908,1908,13
1909,1909,5
1911,1911,2
1914,1914,7
1916,1916,2
1917,1917,2
1918,1918,4
1919,1919,13
1920,1920,16
1924,1924,25
1925,1925,3
1927,1927,2
1928,1928,20
1930,1930,26
1931,1931,20
1932,1932,11
1933,1933,6
1935,1935,5
1937,1937,5
1938,1938,2
1939,1939,4
1940,1940,1
1941,1941,10
1943,1943,22
1944,1944,5
1946,1946,5
1948,1948,24
1949,1949,7
1950,1950,15
1952,1952,10
1953,1953,7
1954,1954,21
1955,1955,4
1956,1956,15
1957,1957,9
1960,1960,3
1961,1961,3
1963,1963,3
1964,1964,7
1965,1965,5
1966,1966,8
1967,1967,13
1970,1970,7
1971,1971,9
1972,1972,13
1973,1973,10
1974,1974,16
1975,1975,4
1977,1977,3
1978,1978,7
1979,1979,12
1980,1980,7
1981,1981,8
1982,1982,3
1983,1983,10
1984,1984,5
1985,1985,12
1987,1987,5
1988,1988,14
1990,1990,6
1991,1991,8
1992,1992,1
1993,1993,7
1996,1996,9
1997,1997,8
1999,1999,12
2000,2000,5
2001,2001,8
2004,2004,10
2005,2005,3
2006,2006,46
2007,2007,4
2008,2008,5
2009,2009,3
2010,2010,7
2011,2011,26
2012,2012,13
2013,2013,10
2014,2014,6
2015,2015,15
2017,2017,24
2019,2019,2
2020,2020,2
2021,2021,35
2022,2022,6
2023,2023,33
2025,2025,21
2026,2026,3
2027,2027,5
2028,2028,8
2031,2031,1
2032,2032,20
2033,2033,2
2034,2034,8
2036,2036,2
2037,2037,18
2038,2038,10
2040,2040,6
2041,2041,5
2043,2043,1
2044,2044,5
2045,2045,8
2047,2047,13
2048,2048,10
2049,2049,7
2052,2052,23
2053,2053,25
2055,2055,1
2056,2056,2
2057,2057,6
2058,2058,1
2060,2060,34
2063,2063,9
2064,2064,5
2065,2065,1
2066,2066,3
2067,2067,6
2068,2068,21
2069,2069,6
2071,2071,12
2072,2072,8
2076,2076,13
2077,2077,2
2079,2079,2
2080,2080,20
2081,2081,4
2083,2083,8
2084,2084,20
2085,2085,20
2086,2086,2
2087,2087,22
2088,2088,1
2091,2091,16
2092,2092,15
2093,2093,1
2094,2094,7
2096,2096,3
2097,2097,5
2100,2100,9
2101,2101,5
2102,2102,4
2103,2103,6
2104,2104,7
2105,2105,11
2106,2106,15
2107,2107,12
2109,2109,45
2110,2110,20
2111,2111,1
2113,2113,4
2114,2114,7
2116,2116,5
2117,2117,5
2118,2118,2
2119,2119,4
2120,2120,7
2121,2121,5
2122,2122,16
2123,2123,6
2124,2124,1
2126,2126,8
2127,2127,2
2128,2128,23
2132,2132,7
2133,2133,4
2134,2134,25
2135,2135,6
2136,2136,2
2137,2137,35
2138,2138,5
2139,2139,20
2140,2140,8
2142,2142,5
2143,2143,1
2144,2144,1
2145,2145,7
2146,2146,8
2149,2149,16
2150,2150,9
2151,2151,6
2152,2152,9
2153,2153,20
2154,2154,6
2155,2155,2
2156,2156,3
2157,2157,2
2158,2158,8
2159,2159,11
2160,2160,15
2162,2162,7
2163,2163,35
2165,2165,16
2166,2166,9
2167,2167,4
2168,2168,22
2169,2169,1
2171,2171,7
2172,2172,3
2174,2174,3
2175,2175,9
2176,2176,14
2177,2177,30
2178,2178,5
2180,2180,15
2181,2181,3
2182,2182,2
2183,2183,3
2184,2184,7
2185,2185,7
2186,2186,3
2187,2187,16
2188,2188,11
2189,2189,12
2190,2190,17
2191,2191,3
2192,2192,1
2194,2194,25
2196,2196,5
2197,2197,20
2198,2198,3
2199,2199,20
2200,2200,21
2201,2201,8
2202,2202,9
2203,2203,4
2204,2204,9
2205,2205,4
2206,2206,20
2207,2207,2
2208,2208,4
2209,2209,17
2210,2210,8
2212,2212,7
2213,2213,14
2218,2218,1
2219,2219,1
2220,2220,16
2221,2221,18
2222,2222,8
2223,2223,20
2224,2224,7
2225,2225,15
2226,2226,16
2228,2228,4
2229,2229,1
2231,2231,4
2232,2232,5
2233,2233,5
2236,2236,1
2237,2237,15
2238,2238,16
2239,2239,2
2240,2240,5
2241,2241,4
2242,2242,20
2244,2244,11
2245,2245,9
2246,2246,17
2247,2247,15
2248,2248,13
2251,2251,6
2252,2252,10
2253,2253,16
2255,2255,14
2256,2256,4
2257,2257,3
2258,2258,3
2260,2260,19
2261,2261,21
2262,2262,4
2263,2263,1
2265,2265,1
2266,2266,15
2267,2267,4
2268,2268,23
2269,2269,7
2270,2270,2
2271,2271,4
2272,2272,2
2273,2273,3
2274,2274,1
2276,2276,10
2278,2278,32
2279,2279,15
2280,2280,2
2281,2281,4
2284,2284,10
2290,2290,32
2292,2292,5
2294,2294,2
2295,2295,8
2296,2296,1
2297,2297,29
2298,2298,5
2299,2299,4
2300,2300,3
2302,2302,14
2303,2303,14
2304,2304,3
2305,2305,25
2307,2307,23
2308,2308,2
2312,2312,12
2313,2313,2
2314,2314,5
2316,2316,10
2317,2317,15
2319,2319,6
2320,2320,5
2321,2321,12
2322,2322,10
2323,2323,9
2324,2324,25
2325,2325,18
2326,2326,15
2327,2327,4
2328,2328,1
2329,2329,1
2330,2330,20
2331,2331,1
2332,2332,37
2333,2333,13
2334,2334,4
2335,2335,5
2336,2336,2
2337,2337,2
2338,2338,36
2339,2339,20
2340,2340,6
2341,2341,10
2342,2342,6
2343,2343,11
2344,2344,3
2345,2345,2
2346,2346,13
2347,2347,1
2349,2349,35
2352,2352,12
2353,2353,3
2356,2356,7
2358,2358,7
2359,2359,6
2360,2360,4
2361,2361,4
2363,2363,4
2364,2364,7
2365,2365,4
2366,2366,2
2369,2369,6
2370,2370,3
2371,2371,30
2372,2372,2
2373,2373,2
2374,2374,35
2375,2375,23
2377,2377,1
2378,2378,2
2379,2379,1
2380,2380,4
2381,2381,1
2382,2382,14
2385,2385,6
2386,2386,8
2387,2387,27
2389,2389,13
2392,2392,3
2393,2393,7
2394,2394,10
2395,2395,8
2396,2396,22
2397,2397,6
2398,2398,13
2399,2399,4
2400,2400,10
2402,2402,10
2403,2403,14
2404,2404,5
2405,2405,3
2406,2406,8
2407,2407,3
2410,2410,15
2411,2411,3
2412,2412,3
2413,2413,15
2415,2415,3
2416,2416,10
2417,2417,3
2422,2422,13
2423,2423,18
2424,2424,12
2426,2426,10
2427,2427,7
2429,2429,2
2430,2430,15
2431,2431,5
2432,2432,24
2433,2433,33
2435,2435,3
2437,2437,15
2441,2441,12
2442,2442,14
2443,2443,1
2445,2445,14
2446,2446,5
2447,2447,1
2448,2448,15
2449,2449,12
2453,2453,3
2454,2454,9
2456,2456,2
2457,2457,5
2458,2458,19
2459,2459,15
2460,2460,3
2461,2461,10
2462,2462,6
2464,2464,25
2466,2466,16
2467,2467,7
2468,2468,7
2469,2469,3
2470,2470,9
2471,2471,20
2472,2472,2
2473,2473,1
2477,2477,3
2481,2481,7
2482,2482,25
2483,2483,7
2485,2485,10
2487,2487,22
2488,2488,3
2489,2489,20
2490,2490,7
2491,2491,2
2493,2493,5
2494,2494,2
2495,2495,9
2496,2496,40
2498,2498,10
2499,2499,17
2500,2500,6
2501,2501,10
2502,2502,25
2503,2503,10
2504,2504,1
2507,2507,10
2508,2508,4
2510,2510,15
2512,2512,14
2513,2513,3
2514,2514,5
2515,2515,1
2516,2516,6
2517,2517,6
2518,2518,2
2520,2520,1
2521,2521,3
2522,2522,1
2523,2523,5
2524,2524,5
2525,2525,3
2526,2526,7
2527,2527,10
2528,2528,10
2529,2529,3
2530,2530,2
2531,2531,3
2532,2532,1
2533,2533,24
2535,2535,13
2536,2536,4
2537,2537,3
2538,2538,14
2540,2540,10
2541,2541,16
2542,2542,24
2543,2543,7
2544,2544,11
2545,2545,9
2548,2548,3
2549,2549,9
2550,2550,10
2551,2551,8
2552,2552,20
2553,2553,4
2554,2554,4
2555,2555,25
2557,2557,7
2559,2559,9
2560,2560,2
2562,2562,9
2564,2564,6
2567,2567,7
2570,2570,4
2571,2571,9
2572,2572,2
2573,2573,6
2574,2574,10
2575,2575,12
2576,2576,3
2578,2578,1
2579,2579,3
2580,2580,2
2581,2581,2
2582,2582,10
2583,2583,6
2584,2584,17
